Numero_RCS,Publication,Date,Company_Name,Address,Tags,Employee_List
B230547,RESA_2019_002.580,02-01-2019,Immoprestige (IP)-Constructions S.à r.l.," L-6940 Niederanven, 188, route de Trèves ",,"'César LOPES PARENTE ANTUNES', 'Patrick PIANON'"
8230548,RESA_2019_002.584,02-01-2019,New Avenue GP,"19, Rue Eugène Ruppert L-2453 Luxembourg, Grand-Duché de Luxembourg ","'Management', 'Commercial', 'Subscription', 'Purchase', 'Exchange'",
8230549,RESA_2019_002.585,02-01-2019,Elior Services Luxembourg S.à r.l.," 33, route d’Esch, L-3230 Bettembourg Grand-Duché de Luxembourg  ",'Finance',"'Eric WOLFF', 'Olivier PETRIGNET', 'Éric WOLFF'"
8230550,RESA_2019_002.588,02-01-2019,EMPIRA Fonds SCA SlCAV-RAIF,"9A, Rue Gabriel Lippmann, L-5365 Munsbach",,
8230551,RESA_2019_002.600,02-01-2019,European Entertainment (Holdings) S.à r.|.," 2, avenue Charles de Gaulle L-1653 Luxembourg  ","'Acquisition', 'Holding', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance'","'lmède El Moudden', 'Davy BEAUCE', 'Christophe GAMMAL', 'Xavier DE CILLIA', 'Nicolas PONCELET'"
8230552,RESA_2019_002.604,02-01-2019,Makuria Luxembourg Ill SARL," 24, rue Beaumont, L-1219 Luxembourg ","'Holding', 'Foreign', 'Acquisition', 'Purchase', 'Subscription', 'Exchange', 'Debentures', 'Administration', 'Development', 'Management'",
8230553,RESA_2019_002.607,02-01-2019,"Stafford Sustainable Secondaries Fund Ill GP Lux, CoopSA"," 412F route d'Esch, L-2086 Luxembourg ",'Acquisition',"'Manh Duy Van CAO', 'Riccardo Zorzetto'"
B230554,RESA_2019_002.647,02 01 2019,S Advice,49 rue Glesener à 1631 LUXEMBOURG Société en commandite simple,,
8230555,RESA_2019_002.713,02-01-2019,Beams Investments S.à r.l.,,"'Holding', 'Foreign', 'Acquisition', 'Purchase', 'Subscription', 'Exchange', 'Debentures', 'Administration', 'Development', 'Management'","'Thomas Morana', 'Emanuela Brero', 'Stella Le Cras'"
8230556,RESA_2019_002.719,02-01-2019,NETANYA S.à r.l.,"L-1660 Luxembourg,60 Grand Rue ",,'Philippe GRAFF'
8230524,RESA_2019_002.72,02-01-2019,PROFIL HUMAIN SARL,"13, route de Zoufftgen, L-3598 Dudelange ",'Development',"'Stéphane OTZENBERGER', 'Stéphane LOCATELLI', 'Carole VANDERMEULEN', 'Claire SABATIER'"
8230557,RESA_2019_002.726,02-01-2019,SEGEPA REAL ESTATE S.à r.l.,"2 Rue Jean-Pierre Kirchen, L-4744 Pétange ","'Commercial', 'Acquisition', 'Subscription', 'Development', 'Management'",'Frank SERTIC'
8230525,RESA_2019_002.75,02-01-2019,HAM11SàrL,,,"'Raffaele Bartoli', 'Desiree Dick', 'Sabine Cornut'"
8230558,RESA_2019_002.801,02-01-2019,"China-U.S. Industrial Cooperation European (Unlevered) Partnership, SLP","6D, route de Trèves, 2633 Senningerberg Grand-Duché de Luxembourg  EXTRAIT DU CONTRAT SOCIAL DE LA SOCIÉTÉ (LE “CONTRAT”)",,
8230559,RESA_2019_002.809,02-01-2019,Empire Credit Investments ll S.à r.l.," 26A, Boulevard Royal, L-2449 Luxembourg, Grand-Duché de Luxembourg  ","'Acquisition', 'Management', 'Investment', 'Finance', 'Debentures', 'Debt'",'Nicholas Curwen'
8230560,RESA_2019_002.813,02-01-2019,Empire Credit Investments Ill S.à r.l.," 26A, Boulevard Royal, L-2449 Luxembourg, Grand-Duché de Luxembourg  ","'Acquisition', 'Management', 'Investment', 'Finance', 'Debentures', 'Debt'",'Nicholas Curwen'
8230561,RESA_2019_002.816,02-01-2019,EAD Credit Investments Ill S.à r.l.," 26A, Boulevard Royal, L-2449 Luxembourg, Grand-Duché de Luxembourg  ","'Acquisition', 'Management', 'Investment', 'Finance', 'Debentures', 'Debt'",
8230526,RESA_2019_002.82,02-01-2019,VERMA INVESTMENTS,"42, rue de |a Vallée, L-2661 Luxembourg ","'Commercial', 'Finance', 'Foreign', 'Acquisition', 'Purchase', 'Real Estate'","'Laure JACQUET', 'Sandra MANCINI'"
8230527,RESA_2019_002.93,02-01-2019,"GLOBAL CONCEPT S.à r.l.,"," L-3398 Livange  5, Rue de Geespelt ","'Purchase', 'Management', 'Development'",'Mehmet KOCABEY'
8230568,RESA_2019_003.105,03-01-2019,RNA S.A.," L-1371 Luxembourg, 1, Val Sainte Croix  Grand-Duché de Luxembourg ",'Shares','Rachida El Farhane'
8230569,RESA_2019_003.110,03-01-2019,UK Logistics GP S.à r.l.,,"'Holding', 'Foreign', 'Investment', 'Purchase', 'Subscription', 'Exchange', 'Administration', 'Management', 'Development'",'Leysan Schoemann'
8230570,RESA_2019_003.145,03-01-2019,N A S Invest AcquiCo 51 S.à r.l.,"  L-151 1 Luxembourg, ",'Investment',"'Damien BARBOSA', 'Laurent Kind', 'Yasmina Bekouassa'"
8230571,RESA_2019_003.170,03-01-2019,"""Tempus Holdings 49 S.à r.l.""","15, Boulevard F.W. Raiffeisen L-2411Luxemb0urg ","'Holding', 'Foreign', 'Investment', 'Acquisition', 'Purchase', 'Subscription', 'Exchange', 'Administration', 'Management', 'Development'","'Brendan Dolan', 'Philippe Leclercq', 'Valery Beuken'"
8230572,RESA_2019_003.194,03-01-2019,Vally S.à r.l.," 21, avenue Monterey, L-2163 Luxembourg, ","'Administration', 'Management', 'Development', 'Acquisition'",'Yves VALERIUS'
8230562,RESA_2019_003.21,03-01-2019,Pegasus FinCo S.à r.l.," 6D, route de Trèves, L-2633 Senningèrbèrg ","'Acquisition', 'Foreign', 'Subscription', 'Purchase', 'Debt', 'Holding'",
8230573,RESA_2019_003.214,03-01-2019,EQT Camera Side Car (No. 1) SCSp,"26A, Boulevard Royal, L-2449 Luxembourg, Grand-Duché de Luxembourg  EXTRAIT DU","'Management', 'Investment', 'Acquisition'",
B230574,RESA_2019_003.217,03-01-2019,EQT Camera Side Car (No. 2) SCSp,"26A, Boulevard Royal, L-2449 Luxembourg, Grand-Duché de Luxembourg  EXTRAIT DU","'Management', 'Investment', 'Acquisition'",
8230575,RESA_2019_003.220,03-01-2019,EQT Camera Side Car (No. 3) SCSp,"26A, Boulevard Royal, L-2449 Luxembourg, Grand-Duché de Luxembourg  EXTRAIT DU","'Management', 'Investment', 'Acquisition'",
8230576,RESA_2019_003.234,03-01-2019,HarbourVest 2019 Global AIF SCSp,,"'Acquisition', 'Purchase', 'Subscription', 'Exchange', 'Administration', 'Development'",
E6789,RESA_2019_003.238,03-01-2019,S.C.l. NESTOR,,"'Management', 'Development'","'Jean TONNAR', 'Maurice TONNAR', 'Xavier TONNAR', 'Marthe KOPPES'"
8230577,RESA_2019_003.248,03-01-2019,1,"2019 Global Feeder AIF SCSp Société en commandite spéciale 19, Rue de Bitbourg 1273 Luxembourg Grand-Duché de Luxembourg","'Acquisition', 'Purchase', 'Subscription', 'Exchange', 'Administration', 'Development'",
F12098,RESA_2019_003.259,03-01-2019,CALL SIGN,,,
B230578,RESA_2019_003.274,03-01-2019,"European Trade, conseils & gestion S.à r.l.-S; Société à responsabilité limitée simpliﬁée",,'Management','DEHUT Ludovic'
8230579,RESA_2019_003.304,03-01-2019,Tasty Debtco S.à r.|.," 2, rue Edward Steichen, L-2540 Luxembourg ","'Holding', 'Foreign', 'Investment', 'Acquisition', 'Purchase', 'Subscription', 'Exchange', 'Administration', 'Management', 'Development'",
8230580,RESA_2019_003.308,03-01-2019,"Stefanetti’s Dog Pack, S.à.r.l.-S; Société à responsabilité limitée simpliﬁée1",,"'Commercial', 'Development'","'Cynthia Scalise', 'Katia Weiten'"
F12099,RESA_2019_003.316,03-01-2019,thinkBLOCKtank,"8, rue de la Poste, L-2346 Luxembourg, Grand-Duché de Luxembourg   Follows the English original:",,
B230581,RESA_2019_003.351,03-01-2019,MONTEVORA S.à r.l.," L-2543 Luxembourg 30, Dernier Sol  ",'Purchase',"'Ulisses Emanuel MONTEIRO PINTO', 'Cindy GOMES CORDEIRO', 'Lucie EVORA LOPES'"
B230582,RESA_2019_003.368,03-01-2019,LeadCrest GP S.à r.l.,,"'Holding', 'Foreign', 'Investment', 'Acquisition', 'Purchase', 'Subscription', 'Exchange', 'Administration', 'Management', 'Development'",'Antoine Merle'
8230583,RESA_2019_003.382,03-01-2019,Folio Financière S.à r.l.," 94 rue du Kiem, L-1857 Luxembourg  Grand-Duché de Luxembourg ",,'Ben Brouscher'
8230584,RESA_2019_003.383,03-01-2019,FIMA INVESTMENT S.à r.l.," L-1118 Luxembourg, 23 rue Aldringen  R.C.S. Luxembourg ",,"'Maciej BODNAR', 'Filip OLENDEREK', 'Philippe AFLALO', 'Filip OLENDEREK ', 'Raphaël BENAYOUN'"
8230585,RESA_2019_003.388,03-01-2019,Leckermailchen S.à.r.l.-S,,"'Commercial', 'Development'",
8230586,RESA_2019_003.389,03-01-2019,EXP Investments Securitisation S.à r.l.," 52-54, Avenue du X Septembre, L-2550 Luxembourg  Grand-Duché de Luxembourg ","'Acquisition', 'Debt'",'Virginie Pierru'
8230587,RESA_2019_003.396,03-01-2019,VM1 S.à r.l.,"L- 2227 Luxembourg, 20, avenue de la Porte Neuve ",'Purchase',"'Patrick Funk', 'Andrea Nicu', 'Pierre THOMAS', 'Joffray VALLAT', 'Patrick FUNK'"
8230588,RESA_2019_003.400,03-01-2019,Combo Holdco SARL," 1, rue Hildegard von Bingen L-1282 Luxembourg ","'Acquisition', 'Holding', 'Foreign', 'Administration', 'Development', 'Management'","'Frank Stolz-Page', 'François Champon', 'Nadia Dziwinski'"
B230589,RESA_2019_003.430,03-01-2019,R.M. Real Estate SA.," 12, rue Michel Lentz, L-7259 Bereldange, ",'Development',"'Rafael FERREIRA', 'Martine BOUR', 'Maria Luisa FERNANDES FERREIRA'"
8230590,RESA_2019_003.434,03-01-2019,Prosperitas Investments,"L-1273 Luxembourg 19 ,rue de Bitbourg ","'Acquisition', 'Holding', 'Management', 'Finance', 'Commercial'","'Volodymyr Gorb', 'Marc Berna', 'Marc Bema', 'Edgars Murans', 'Oksana Chuprina'"
8230563,RESA_2019_003.49,03-01-2019,White Nights," L-3333 Hellange,  ",,"'Devaughn MEUWISSEN', 'Karin DITMEIJER', 'Cathalijne VAN DEN BROEK', 'Cathalij ne VAN DEN BROEK '"
8230591,RESA_2019_003.510,03-01-2019,BLU FAMILY SECURITIES," L-8308 Capellen, 89E, Parc d’Activités    ","'Management', 'Investment', 'Acquisition', 'Administration', 'Development', 'Subscription', 'Purchase'","'Charles WOOLNOUGH', 'Monique GOLDENBERG'"
B230592,RESA_2019_003.514,03-01-2019,USRIG Investments SCS,,"'Commercial', 'Investment', 'Purchase', 'Subscription', 'Exchange', 'Development'",
8230564,RESA_2019_003.54,03-01-2019,Spreeturm AcquiCo II S.à r.l.,"  L-151 1 Luxembourg, ",'Commercial',"'Damien BARBOSA', 'Laurent Kind', 'Yasmina Bekouassa'"
F12100,RESA_2019_003.563,03-01-2019,LIONS CLUB PHOENIX LUXEMBOURG,"40, rue des Aubépines L-8052 Bertrange",,
8230565,RESA_2019_003.57,03-01-2019,Maison de la pédicure médicale S.à r.l.,"  L-3284 Bettembourg, ","'Administration', 'Management', 'Foreign', 'Commercial'",'Mélanie WEBER'
8230593,RESA_2019_003.575,03-01-2019,Red Velvet Luxembourg Holding," 3A, Sentier de l’Espérance, L-l474 Luxembourg, ","'Acquisition', 'Holding', 'Management', 'Foreign', 'Investment', 'Purchase', 'Subscription', 'Exchange', 'Debentures', 'Administration', 'Development'",'Damien BARBOSA'
8230594,RESA_2019_003.594,03-01-2019,Archmore IDP ll Sub-Fund ll Holding l S.à r.l.,"33a, Avenue J.-F. Kennedy, L-1855 Luxembourg ","'Administration', 'Management', 'Debt'",'Caroline RAMIER'
B230566,RESA_2019_003.60,03-01-2019,Cresco Station 1 S.C.A.," 6, rue d’Arlon L-8399 Windhof  ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance', 'Development'","'Liridon ELSHANI', 'Andrew Williams', 'Jonathan Elkington'"
8230595,RESA_2019_003.613,03-01-2019,UK Logistics PropCo II S.à r.l.,,"'Holding', 'Foreign', 'Investment', 'Purchase', 'Subscription', 'Exchange', 'Administration', 'Management', 'Development'",'Leysan Schoemann'
8230596,RESA_2019_003.640,03-01-2019,CEE RF6 Investor S. à r.].,,,
8230597,RESA_2019_003.641,03-01-2019,VESEC SARL," 38, Rangwee, L-2412 Luxembourg, ","'Commercial', 'Acquisition', 'Subscription', 'Development', 'Management'",'Amaury WITTOUCK'
8230598,RESA_2019_003.642,03-01-2019,UK Logistics PropCo III S.à r.l.,,"'Holding', 'Foreign', 'Investment', 'Purchase', 'Subscription', 'Exchange', 'Administration', 'Management', 'Development'",'Leysan Schoemann'
8230599,RESA_2019_003.654,03-01-2019,M.R. S.à.r.l.-S;,,'Commercial','MARTINS DIAS Pedro Nuno'
8230567,RESA_2019_003.79,03-01-2019,Sculptor Ristretto Investments S.à r.l.," 26b, boulevard Royal,  ","'Holding', 'Foreign', 'Investment', 'Acquisition', 'Purchase', 'Subscription', 'Exchange', 'Administration', 'Management', 'Development'","'Damien BARBOSA', 'Scott CICCON E', 'Szymon Stanislaw DEC', 'Eric GONNELLA', 'Hamza MOUMAYZ'"
8230609,RESA_2019_004.101,04-01-2019,European Entertainment S.à r.|.," 2, avenue Charles de Gaulle L-1653 Luxembourg  ","'Acquisition', 'Holding', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance'","'lmède EI Moudden', 'Davy BEAUCE', 'Christophe GAMMAL', 'Xavier DE CILLIA', 'Nicolas PONCELET', 'Charles BARTER', 'Paul GUNNER', 'Edward WOODS'"
B230610,RESA_2019_004.105,04-01-2019,LCN European Fund Ill GP S.à r.l.," 43, Avenue John F. Kennedy, L-1855 Luxembourg  Grand-Duché de Luxembourg ","'Holding', 'Foreign', 'Investment', 'Acquisition', 'Purchase', 'Subscription', 'Exchange', 'Administration', 'Management', 'Development'","'Bryan York Colwell', 'Edward Vincent La Puma', 'Valerio Bove', 'Nigel P. Williams'"
8230611,RESA_2019_004.126,04-01-2019,Astrolabe S.à r.l.," 4, rue Jean-Pierre Probst  L-2168 Luxembourg ","'Management', 'Commercial', 'Finance', 'Real Estate'",'Ben Brouscher'
8230600,RESA_2019_004.15,04-01-2019,Beams Acquisition S.à r.l.,,"'Holding', 'Foreign', 'Acquisition', 'Purchase', 'Subscription', 'Exchange', 'Debentures', 'Administration', 'Development', 'Management'","'Thomas Morana', 'Emanuela Brero', 'Stella Le Cras'"
8230612,RESA_2019_004.156,04-01-2019,EPISO 5 Luxembourg Holding S.à r.l.," 1, Allée Scheffer, L-2520 Luxembourg ","'Foreign', 'Management', 'Subscription', 'Purchase'",'Ben BROUSCHER'
8230613,RESA_2019_004.163,04-01-2019,"Schénken S.à r.l.,","10, Um Faubourg, L-6230 Bech R.C.S. de Luxembourg  ","'Purchase', 'Subscription'","'Jos BECKER', 'Pierre ZIMMER-PINNEL', 'Tom BECKER', 'Marie-Paule BECKER-ZIMMER', 'Ingrid LAFOND'"
8230614,RESA_2019_004.164,04-01-2019,Investa Solutions S.A.,"4, rue Dicks, L-1417 Luxembourg ","'Acquisition', 'Subscription', 'Purchase', 'Exchange', 'Debt', 'Real Estate', 'Debentures', 'Finance'","'Kim Christopher Lennen', 'Mark Le Lievre', 'Fabrice Collin', 'Caroline RAMIER'"
8230601,RESA_2019_004.19,04-01-2019,"ICN Synergy RE S.C.A., SICAV-RAIF","L-2954 Luxembourg 1, Place de Metz ","'Investment', 'Management', 'Debt', 'Debentures'",
8230615,RESA_2019_004.291,04-01-2019,MIDAS EMMETI SCSp," 26A, Boulevard Royal, L-2449 Luxembourg Grand-Duché de Luxembourg  ","'Acquisition', 'Administration', 'Management'",
8230616,RESA_2019_004.299,04-01-2019,HLF2 Luxembourg Financial S.ar.l.,,"'Acquisition', 'Administration', 'Management', 'Development', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt'","'Véronique WAUTHIER', 'Lucia BERARDI', 'Berenice KUNNARI'"
8230617,RESA_2019_004.300,04-01-2019,TRUCK & BUS Rentals S.à r.l.," L-3381 Livange, 1, rue Fontebierg ","'Management', 'Commercial'","'Pierre ANTOINE', 'Vincent ANTOINE'"
8230618,RESA_2019_004.303,04-01-2019,Airbnb Payments Luxembourg SA.," L-2530 Luxembourg,  4, rue Henri Schnadt ","'Acquisition', 'Foreign', 'Exchange'",'Maxime LLERENA'
8230619,RESA_2019_004.316,04-01-2019,KOM Investments S.à r.|.," 16, rue Erasme, L-1468 Luxembourg  (Grand-Duché de Luxembourg) ","'Acquisition', 'Subscription', 'Exchange', 'Real Estate'","'Christian TAILLEUR', 'Serge MUREZ', 'Deborah BUFFONE'"
8230602,RESA_2019_004.34,04-01-2019,AGCF European Senior Income Fund S.à r.l.," 6, rue Eugene Ruppert, L-2453 Luxembourg,  Grand-Duché de Luxembourg ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance', 'Development'",'Olivier Maciejewski'
8230620,RESA_2019_004.363,04-01-2019,Vegg S.à r.l.-S," Rue Neil Armstrong 9, L-1137 Howald, Luxembourg  ","'Commercial', 'Development'",'Tommaso Patrignani'
8230621,RESA_2019_004.365,04-01-2019,LiCi Germany Holding,,,"'Horst Baumann', 'David Girra', 'Pamela Vera Hoerr'"
B230622,RESA_2019_004.366,04-01-2019,ROYAL KIDS S.à r.l., 206 route de Longwy L-1940 Luxembourg ,,"'Joao Miguel FERREIRA GOMES', 'Vitor Manuel FERREIRA GOMES', 'Joao Miguel FERREIRA GOMES ', 'Priscila DE CASTRO PINTO', 'Paula Cristina CASTRO FERREIRA'"
B230623,RESA_2019_004.367,04-01-2019,Credit Suisse Private Equity Platform ll S.C.Sp. SICAV-RAIF,,,
8230624,RESA_2019_004.376,04-01-2019,Op der Heicht S.A.,"L-2680 Luxembourg, 44, rue de Vianden ","'Development', 'Acquisition', 'Management', 'Foreign'","'Pit THILLENS', 'Lucien Thillens', 'Robert Thillens', 'Anouk RIES'"
8230603,RESA_2019_004.41,04-01-2019,ATOMICO V SCSP,"6 RUE GABRIEL LIPPMANN, 5365 MUNSBACH, GRAND-DUCHÉ DE LUXEMBOURG  1)","'Purchase', 'Subscription', 'Exchange', 'Management', 'Development'",
8230604,RESA_2019_004.42,04-01-2019,ATOMICO HOLDINGS V SCSP,"6 RUE GABRIEL LIPPMANN, 5365 MUNSBACH, GRAND-DUCHÉ DE LUXEMBOURG  1)","'Purchase', 'Subscription', 'Exchange', 'Management', 'Development'",
B230625,RESA_2019_004.458,04-01-2019,GSA Spain Core Holdco S.à r.l.," 33 rue du Puits Romain, Bertrange L-8070. ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange'","'Robert Hessing', 'Claire Bianconi', 'Inga Astashova'"
B230626,RESA_2019_004.495,04-01-2019,EGGLI INVESTMENT," L-2210 Luxembourg 84, Boulevard Napoléon 1er ",,"'Damien BARBOSA', 'Alain', 'Alain KITTLER', 'Jürgen FISCHER', 'Klaus KRUMNAU', 'Aline', 'Blandine', 'Evelyne'"
8230605,RESA_2019_004.53,04-01-2019,Alfa 2 Investments S.C.Sp.,,"'Investment', 'Acquisition', 'Purchase', 'Subscription', 'Exchange', 'Administration', 'Management'",
B230627,RESA_2019_004.551,04-01-2019,GSO ESDF ll (Luxembourg) Holdco S.à r.l.," L-2453 Luxembourg 2-4, rue Eugène Ruppert","'Acquisition', 'Holding', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance', 'Development', 'Investment', 'Real Estate'",
E6790,RESA_2019_004.555,04-01-2019,Naples LLC SCI,"13, Langertengaass L-3762 Tétange ","'Commercial', 'Purchase', 'Management', 'Foreign'","'Angelo Massimo SPELLINI', 'Domenica GENTILE'"
8230606,RESA_2019_004.58,04-01-2019,DIANATURE S.à.r.l.-S,,,'Dragomir Cristina-Daniela'
8230628,RESA_2019_004.624,04-01-2019,Cresco Station 2 S.C.A.," 6, rue d’Arlon L-8399 Windhof  ","'Acquisition', 'Management', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance', 'Development'","'Liridon ELSHANI', 'Andrew Williams', 'Jonathan Elkington'"
F12103,RESA_2019_004.628,04-01-2019,lndiaca Kolmer-Bierg,,,
F12104,RESA_2019_004.631,04-01-2019,"Omni Vision, Association sans but lucratif",,,
8230629,RESA_2019_004.635,04-01-2019,oak peak business services S.à r.l.," 35, Ceinture des rosiers, L-2446 Howald, ",'Management',
8230630,RESA_2019_004.649,04-01-2019,Ares ECSF X (T) Holdings S.à r.l.," 6, rue Eugene Ruppert, L-2453 Luxembourg, Grand-Duché de Luxembourg  ","'Acquisition', 'Administration', 'Management', 'Development', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance'",
8230631,RESA_2019_004.663,04-01-2019,NNDN S.à r.l.-S,"33, Avenue Grande-Duchesse Charlotte L-3441 DUDELANGE ","'Commercial', 'Development'","'NEIERTZ David', 'JEFIMOW Natalia'"
B230632,RESA_2019_004.664,04-01-2019,MFEX MUTUAL FUNDS EXCHANGE AB — Luxembourg Branch,,,
8230633,RESA_2019_004.670,04-01-2019,LBH-Lux S.à r.l.," 45, rue de Hussigny, L-4461 Belvaux, ",'Purchase',"'Fernand BRAUN', 'Mathieu HUSSON', 'Mathieu HUSSON ', 'Carmen LEARDINI épouse BRAUN', 'Carmen LEARDIN I épouse BRAUN'"
8230634,RESA_2019_004.679,04-01-2019,Ares ECI III (K) Holdings S.à r.l.," 6, rue Eugene Ruppert, L-2453 Luxembourg, Grand-Duché de Luxembourg  ","'Acquisition', 'Administration', 'Management', 'Development', 'Subscription', 'Purchase', 'Exchange', 'Debentures', 'Debt', 'Finance'",
